Package	Version
bigsnpr	1.12.21
bigstatsr	1.6.2
jsonlite	2.0.0
bigassertr	0.2.0
bigparallelr	0.3.2
bigsparser	0.7.3
bigreadr	0.2.5
bigutilsr	0.3.11
data.table	1.18.4
doRNG	1.8.6.3
foreach	1.5.2
ggplot2	4.0.3
magrittr	2.0.5
Rcpp	1.1.1-1.1
runonce	0.3.3
vctrs	0.7.3
RcppArmadillo	15.2.7-1
rmio	0.4.0
roptim	0.1.7
doParallel	1.0.17
flock	0.7
parallelly	1.48.0
RhpcBLASctl	0.23-42
RcppEigen	0.3.4.0.2
cowplot	1.2.0
ps	1.9.3
RSpectra	0.16-2
tibble	3.3.1
nabor	0.5.0
robustbase	0.99-7
rngtools	1.5.2
iterators	1.0.14
cli	3.6.6
gtable	0.3.6
isoband	0.3.0
lifecycle	1.0.5
rlang	1.2.0
S7	0.2.2
scales	1.4.0
withr	3.0.2
ff	4.5.2
urltools	1.7.3.1
glue	1.8.1
bit	4.6.0
cpp11	0.5.5
BH	1.90.0-1
digest	0.6.39
DEoptimR	1.1-4
farver	2.1.2
labeling	0.4.3
R6	2.6.1
RColorBrewer	1.1-3
viridisLite	0.4.3
pillar	1.11.1
pkgconfig	2.0.3
triebeard	0.4.1
utf8	1.2.6
