sample.ID	S	reference
HG00096	0.137763478474656	TRUE
HG00097	0.136472917801055	TRUE
HG00099	0.132692409762848	TRUE
HG00100	0.132095773163052	TRUE
HG00101	0.157438023924211	TRUE
HG00102	0.151266857371425	TRUE
HG00103	0.156618746383621	TRUE
HG00105	0.124492526980024	TRUE
HG00106	0.149809061535202	TRUE
HG00107	0.138212869282081	TRUE
HG00108	0.157593732569384	TRUE
HG00109	0.140163794360667	TRUE
HG00110	0.134125956863143	TRUE
HG00111	0.132635134585797	TRUE
HG00112	0.141218557501746	TRUE
HG00113	0.141489208026395	TRUE
HG00114	0.131063059847028	TRUE
HG00115	0.13289947478913	TRUE
HG00117	0.146262148125384	TRUE
HG00118	0.135102327435736	TRUE
HG00119	0.167377791855398	TRUE
HG00121	0.145378450858318	TRUE
HG00122	0.132136731243773	TRUE
HG00123	0.169364798913856	TRUE
HG00125	0.153294050558147	TRUE
HG00126	0.127010335665602	TRUE
HG00127	0.129474549518206	TRUE
HG00128	0.1374565084053	TRUE
HG00129	0.138631342984356	TRUE
HG00130	0.135771486854358	TRUE
HG00131	0.137042268335064	TRUE
HG00132	0.114832642884331	TRUE
HG00133	0.117213145325099	TRUE
HG00136	0.13491228472282	TRUE
HG00137	0.114374730139332	TRUE
HG00138	0.104563769221627	TRUE
HG00139	0.113359037393341	TRUE
HG00140	0.125589773598767	TRUE
HG00141	0.137769343660075	TRUE
HG00142	0.123089290000704	TRUE
HG00143	0.103181585706074	TRUE
HG00145	0.167789970169442	TRUE
HG00146	0.121863213526499	TRUE
HG00148	0.125014260625449	TRUE
HG00149	0.140817039481769	TRUE
HG00150	0.123337882117531	TRUE
HG00151	0.117519183065854	TRUE
HG00154	0.103640135607111	TRUE
HG00155	0.125590218903736	TRUE
HG00157	0.115430191719347	TRUE
HG00158	0.144657759356661	TRUE
HG00159	0.131006374442069	TRUE
HG00160	0.116463613677052	TRUE
HG00171	0.131087362183429	TRUE
HG00173	0.12011764885502	TRUE
HG00174	0.135642004777811	TRUE
HG00176	0.160537331975667	TRUE
HG00177	0.157752227381118	TRUE
HG00178	0.128113871870221	TRUE
HG00179	0.120928051276404	TRUE
HG00180	0.130882300332168	TRUE
HG00181	0.240751674432197	TRUE
HG00182	0.120456676256544	TRUE
HG00183	0.111868875996374	TRUE
HG00185	0.122554604495718	TRUE
HG00186	0.128972569162276	TRUE
HG00187	0.162983421109589	TRUE
HG00188	0.117081473305466	TRUE
HG00189	0.147294978667429	TRUE
HG00190	0.136297286145922	TRUE
HG00231	0.119747761253768	TRUE
HG00232	0.106908758141547	TRUE
HG00233	0.129266404646845	TRUE
HG00234	0.131018726380075	TRUE
HG00235	0.0974923051276753	TRUE
HG00236	0.126228254165723	TRUE
HG00237	0.114279232405964	TRUE
HG00239	0.117468686107569	TRUE
HG00242	0.136418285390434	TRUE
HG00243	0.12318026685359	TRUE
HG00244	0.111382258672905	TRUE
HG00245	0.120808529551143	TRUE
HG00246	0.10327681301358	TRUE
HG00250	0.173432365141353	TRUE
HG00251	0.134558178116761	TRUE
HG00252	0.128791412552251	TRUE
HG00253	0.123269679980282	TRUE
HG00254	0.121873525638474	TRUE
HG00255	0.122648843801998	TRUE
HG00256	0.126886762520348	TRUE
HG00257	0.109929291201121	TRUE
HG00258	0.103718624400329	TRUE
HG00259	0.121300979916145	TRUE
HG00260	0.119254866865287	TRUE
HG00261	0.120635080718998	TRUE
HG00262	0.131798783401835	TRUE
HG00263	0.139713337607297	TRUE
HG00264	0.11710658532328	TRUE
HG00265	0.136281482981258	TRUE
HG00266	0.134571601979441	TRUE
HG00267	0.168397752338221	TRUE
HG00268	0.126350278416448	TRUE
HG00269	0.13576667946114	TRUE
HG00271	0.15859931808559	TRUE
HG00272	0.122492565602769	TRUE
HG00273	0.137722261647061	TRUE
HG00274	0.154096109031906	TRUE
HG00275	0.134823006468937	TRUE
HG00276	0.134853759685855	TRUE
HG00277	0.156719561538787	TRUE
HG00278	0.145393465446038	TRUE
HG00280	0.142805398436411	TRUE
HG00281	0.171479325355153	TRUE
HG00282	0.115918349423798	TRUE
HG00284	0.136457221017994	TRUE
HG00285	0.149209592763514	TRUE
HG00288	0.121609442577158	TRUE
HG00290	0.127509343867928	TRUE
HG00304	0.110862862142388	TRUE
HG00306	0.143744751246434	TRUE
HG00308	0.119937785755075	TRUE
HG00309	0.121376354022143	TRUE
HG00310	0.135125200863506	TRUE
HG00311	0.172270091639999	TRUE
HG00313	0.147426616492268	TRUE
HG00315	0.136259090493551	TRUE
HG00318	0.119564234803744	TRUE
HG00319	0.133145660287723	TRUE
HG00320	0.11775443012787	TRUE
HG00321	0.119005867570649	TRUE
HG00323	0.114266990062428	TRUE
HG00324	0.12879455098069	TRUE
HG00325	0.10200832134299	TRUE
HG00326	0.139756197760615	TRUE
HG00327	0.128919912726655	TRUE
HG00328	0.11957340492391	TRUE
HG00329	0.126229719451189	TRUE
HG00330	0.198016372866598	TRUE
HG00331	0.150007304286891	TRUE
HG00332	0.14848806117563	TRUE
HG00334	0.11987921912129	TRUE
HG00335	0.131388434827194	TRUE
HG00336	0.143151085243462	TRUE
HG00337	0.142075149369158	TRUE
HG00338	0.134716250365472	TRUE
HG00339	0.143834869442566	TRUE
HG00341	0.212870984259614	TRUE
HG00342	0.123187588037915	TRUE
HG00343	0.12544606993938	TRUE
HG00344	0.186715883243395	TRUE
HG00345	0.124574114720191	TRUE
HG00346	0.143561745302286	TRUE
HG00349	0.132127119920561	TRUE
HG00350	0.19479372049912	TRUE
HG00351	0.135694584276694	TRUE
HG00353	0.123928579626738	TRUE
HG00355	0.12558181613116	TRUE
HG00356	0.13293547986765	TRUE
HG00357	0.128193780890793	TRUE
HG00358	0.167245658079746	TRUE
HG00360	0.148379217182841	TRUE
HG00361	0.160360254272511	TRUE
HG00362	0.137250013036347	TRUE
HG00364	0.106575356690234	TRUE
HG00365	0.134842130442435	TRUE
HG00366	0.144527872471653	TRUE
HG00367	0.146644541154055	TRUE
HG00368	0.167255874326905	TRUE
HG00369	0.150191462178643	TRUE
