FID1	IID1	FID2	IID2	NSNP	HETHET	IBS0	KINSHIP
0	HG00120	0	HG00116	1664852	0.110959	0.0332906	0.0820523
0	HG00240	0	HG00238	1664852	0.11046	0.036742	0.0680231
0	HG00542	0	HG00475	1664852	0.102379	0.0302411	0.0853533
0	HG00595	0	HG00584	1664852	0.101004	0.0370201	0.0541169
0	HG00607	0	HG00581	1664852	0.0992232	0.0367036	0.0534826
0	HG00881	0	HG00851	1664852	0.101105	0.0343826	0.0644754
0	HG02179	0	HG01795	1664852	0.101568	0.0356686	0.0607282
0	HG02379	0	HG02353	1664852	0.0997572	0.0376244	0.0476026
0	HG02379	0	HG02356	1664852	0.0990863	0.0369432	0.0517644
0	HG02624	0	HG02610	1664852	0.107172	0.0381445	0.057731
0	HG02682	0	HG02681	1664852	0.112489	0.0380298	0.0665317
0	HG03097	0	HG03073	1664852	0.107803	0.0366393	0.0634505
0	HG03352	0	HG03343	1664852	0.111802	0.0330396	0.0860478
0	HG03366	0	HG03352	1664852	0.107519	0.0384082	0.0575319
0	HG03372	0	HG03301	1664852	0.110241	0.0361726	0.0704793
0	HG03457	0	HG03428	1664852	0.107728	0.036781	0.0642345
0	HG03478	0	HG03469	1664852	0.107725	0.0377457	0.06061
0	HG03484	0	HG03464	1664852	0.108716	0.0356692	0.0701217
0	HG03484	0	HG03478	1664852	0.106964	0.0374219	0.0583009
0	HG03873	0	HG03866	1664852	0.111293	0.0353665	0.0760015
0	HG04162	0	HG04161	1664852	0.111831	0.038356	0.0642355
0	NA12383	0	NA11932	1664852	0.108729	0.0398762	0.0533244
0	NA19312	0	NA19307	1664852	0.110928	0.0381565	0.0626061
0	NA19384	0	NA19025	1664852	0.10952	0.0352145	0.0724249
0	NA19395	0	NA19346	1664852	0.106718	0.0406384	0.0461331
0	NA19430	0	NA19037	1664852	0.108223	0.0395645	0.0534481
0	NA19434	0	NA19355	1664852	0.108909	0.0387878	0.0567857
0	NA19452	0	NA19320	1664852	0.106783	0.0410943	0.0448214
0	NA19752	0	NA19661	1664852	0.107163	0.040185	0.0462854
0	NA19786	0	NA19657	1664852	0.109394	0.0367792	0.0665983
0	NA20891	0	NA20864	1664852	0.109735	0.0392756	0.0574421
