sample.ID	sex	Population	Population.Description	Super.Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	1	GBR	British in England and Scotland	EUR	96.9522322135522	141.946377094813	-27.6989005504709	-46.2295444052058	-14.9773202799844	-0.629219150428175	-4.81108379694215	-3.64431103906129	-0.532542383309111	-14.2491554886779	28.3442930920979	-21.1422744903735	-10.4383205053278	20.9085777799949	5.37467962679421	7.29079953611133	-9.6894880448244	-2.11081798371165	0.928687739270462	1.25574410134746
HG00097	2	GBR	British in England and Scotland	EUR	95.3571359054741	142.282025420829	-26.0589201952121	-44.1323453244165	-12.4993409701376	1.39771216904579	-5.41674522875982	0.49939018382325	-2.59024242514345	-10.8396723854864	27.6246878719847	-20.1292321622354	-9.9923525634765	25.1474100259885	14.4231935556501	17.860732435441	-9.60577474256815	-4.50077207157816	0.0509352639649941	-1.82631340418469
HG00099	2	GBR	British in England and Scotland	EUR	97.0512882223201	140.86513331169	-28.6703141803325	-43.5089072110482	-17.5468411992903	0.173571838656809	-5.77973334566174	-2.39887608320273	-3.82221937997423	-14.2963836118162	27.9006826068783	-24.5541210709422	-14.5096229564527	24.6289830400242	8.9303350655688	4.82907469304456	-7.56661936413452	-0.00565000583989283	-7.4995536454755	-1.58101166630999
HG00100	2	GBR	British in England and Scotland	EUR	94.6576848936174	140.912020390945	-27.0806410674251	-43.9776605652386	-8.87539835796572	0.342245933189168	-2.6536030220265	-1.31958995221659	-4.97605223801618	-14.0059690197702	27.9351709303834	-20.9659050987433	-12.7180359518122	31.121383165536	2.53917884431985	13.5904657925607	-6.14903527675252	-0.879406771064511	-4.97467459053658	-0.486493177825456
HG00101	1	GBR	British in England and Scotland	EUR	96.2805661932024	139.427350437287	-28.622999942728	-46.0762527967458	-14.4365189805175	0.209308075288099	-7.76654327529849	0.512661970896776	-2.76213459697127	-14.009872832181	33.1756256676072	-26.7574693043216	-19.5954594558794	28.6103793577052	9.51364996723605	8.8970127375372	-2.46684957255193	0.0718452257181806	0.244554302422129	0.48996386931659
HG00102	2	GBR	British in England and Scotland	EUR	97.9530539134326	140.969839072731	-27.3304796211186	-44.522439559341	-17.9000063002494	0.700964868565667	-6.30972328972704	-1.30384382274593	-0.687183140826913	-11.5146272876944	34.7808102494613	-31.4833622074641	-10.0890003010248	27.4038949898977	7.066532655798	16.5393982667943	-8.85422425271153	-2.20414656773217	-1.09277304494506	0.73828104640634
HG00103	1	GBR	British in England and Scotland	EUR	95.7856822437828	141.061940973537	-28.6029682475387	-47.0994136272957	-10.1743802936409	0.901647249088195	-5.05547206045676	0.405349315481577	-10.5402713645034	-12.8537514224716	23.881509056126	-20.1085898222365	-9.40145987172611	24.0654493357504	4.63957969656899	12.2316167434512	-7.56732783518848	2.22600101542952	6.70784816445706	9.56913843261027
HG00105	1	GBR	British in England and Scotland	EUR	95.7691281677225	141.745936480051	-28.7759731728899	-45.8439825728903	-12.6358277809961	-0.167844372235291	-6.92209845430281	-3.09026268859631	-8.68889990205518	-8.75638142181778	19.6799820313244	-20.4612866750824	-11.2846173451752	26.4351889136484	6.43725646738228	17.7513199965757	-4.05856653481703	1.7211450314512	-1.76889977401861	0.665975874083096
HG00106	2	GBR	British in England and Scotland	EUR	97.8861202564322	141.350601243759	-25.1833245792332	-43.1467375207114	-8.90603932816854	-1.30596410819049	-5.29952762255362	-5.14210142296356	-8.43303154268043	-9.44941865880718	23.2743198442466	-22.6665109705092	-16.2424210209577	21.1029682137445	9.01494750543404	12.8624185522523	-11.0048487570612	1.48178744581246	-0.525182306028363	-1.59748576816481
HG00107	1	GBR	British in England and Scotland	EUR	97.5314398400114	138.948671618044	-29.7364658311165	-44.1921863890798	-15.541614003781	2.38043682108185	-7.06306307175853	-0.14748795436497	-4.79181192614053	-9.56818496710294	29.0102466680317	-24.2648061801573	-14.4938045340639	19.7092020968386	5.5673915031811	14.2161630417523	-6.98260402439727	4.16377025834814	-4.750537352397	-8.73443082528497
HG00108	1	GBR	British in England and Scotland	EUR	95.1927671531723	141.783004903231	-28.0485691444681	-47.4717000379471	-15.3974785434915	-0.310501291550296	-7.47099653047706	-1.839599329095	-1.38281823132537	-10.5754108565755	23.7210872984062	-30.282589598478	-9.23635636938453	22.245344424659	3.62325877968008	22.3727832978925	-6.14972297008335	1.44992966774309	-4.20612121940671	-2.67171896190913
HG00109	1	GBR	British in England and Scotland	EUR	96.5017218900401	141.024724218263	-28.2392559059444	-48.8356807735412	-7.72000575103204	0.67958028794029	-5.77808552834713	-0.619227155493632	-7.9916413194743	-10.8156728788353	28.1898351716567	-25.9807228024895	-3.75398940703377	26.9867167837812	5.48458651486617	5.59625565271376	-5.05258190648275	-2.97832563669894	-1.81676042283745	-6.58443414390963
HG00110	2	GBR	British in England and Scotland	EUR	97.6097850515926	140.130617289226	-26.539696423303	-46.0816652904621	-16.1310039433935	-0.0360864631015829	-7.42893417206568	-1.63033326372528	-8.0674738098202	-13.9108909756139	29.6719948892664	-23.9308389964721	-10.8610202765664	23.5019224689073	2.43200482928215	14.728306561308	-10.5878884693877	0.881922981813558	0.410938384027504	1.83485845021616
HG00111	2	GBR	British in England and Scotland	EUR	96.9650041553303	140.637993617258	-27.0384091331121	-43.8760191003081	-14.3807500500577	0.0901929767279605	-6.59664612041869	0.406780697413404	-1.48783891909494	-14.7010752879735	27.4213273224381	-14.7315447797819	-9.96867530601736	26.542089423527	8.31359323217619	15.8115229027202	-5.77296235338836	-1.44901673734666	-8.96352780604955	-2.46119094481822
HG00112	1	GBR	British in England and Scotland	EUR	96.1237700268521	139.889510523448	-25.3059559187996	-45.3049136418499	-16.4159516255652	0.647026599142221	-8.58105819467038	0.660641953762471	-4.7503484474541	-16.2409162580016	30.2042280974294	-24.1727546298389	-18.6044364420456	26.8211163547419	3.1001344880144	15.7138518589379	-6.85059926209534	8.24999713390015	-4.16699299852488	-7.01687380512467
HG00113	1	GBR	British in England and Scotland	EUR	96.4543715334653	140.943238079572	-27.0253675128035	-45.3374733016717	-11.2838672054651	0.89258173911325	-6.6501094050093	-3.24669788160957	-3.98055650777171	-15.8169944861304	29.8517078324043	-18.1486293706586	-16.2438393543556	25.1094463782973	5.49463517016615	7.59877190239567	-2.96196636997486	2.54444449714978	4.0115826378037	0.461332688773065
HG00114	1	GBR	British in England and Scotland	EUR	96.3243946687516	139.371117288771	-27.1230790498065	-47.3680111398698	-15.5570578951645	1.52381807273714	-4.33267863726755	-0.840004274698517	-1.83433013542094	-14.3266014104248	27.594293306456	-24.9321983870372	-8.37430690671431	23.731073861606	2.50240213117019	18.1984373959011	-6.02770177393937	-0.757406978389735	-6.11201755846912	-4.38635409366632
HG00115	1	GBR	British in England and Scotland	EUR	95.3715420020616	142.09732797246	-28.3165941651992	-46.019865992452	-11.0496354209447	1.11490887194242	-6.82350866725278	-1.15044365966326	-5.35259578775589	-8.47493902130245	25.6899649706957	-21.0905543005364	-3.87744015133927	22.251715068045	-0.158846700603531	10.9777301567192	-11.4201210071191	0.680349852139342	0.0230535900192025	3.58354065289184
HG00116	1	GBR	British in England and Scotland	EUR	98.0958562068429	143.244722735881	-27.8117977252202	-47.0167972660389	-14.1420525454672	0.937382392714913	-9.24900978250238	-3.05427949230346	-6.70349012564512	-12.5454973497802	31.5563892581843	-23.5915274230585	-9.33396450892405	22.3269314292539	1.62903992442216	11.1254763265373	-6.66471940272528	-0.484427383036233	0.636435128020462	4.67724068776459
