PC	pve	cumulative_pve
1	0.0766604577707495	0.0766604577707495
2	0.0318343254548233	0.108494783225573
3	0.00970052753014959	0.118195310755722
4	0.00740530642555989	0.125600617181282
5	0.00150881047699392	0.127109427658276
6	0.00149618067658885	0.128605608334865
7	0.00138573573682046	0.129991344071685
8	0.00117159796445688	0.131162942036142
9	0.000745092724679632	0.131908034760822
10	0.000720895581017543	0.13262893034184
11	0.00069064794178074	0.13331957828362
12	0.000644744260121708	0.133964322543742
13	0.000619844787116952	0.134584167330859
14	0.000611289064886627	0.135195456395746
15	0.000604613593890324	0.135800069989636
16	0.000590204791068882	0.136390274780705
17	0.000557090134966867	0.136947364915672
18	0.000550963185151229	0.137498328100823
19	0.000540595794126776	0.13803892389495
20	0.000532027667106116	0.138570951562056
